Luci,TotalCyc,GuCyc,FenCyc,StartTime,FenStartTime,FenEndTime,rawLuci
1,72,57,15,2018/11/6 0:34,2018/11/6 1:31,2018/11/6 1:45,2
2,56,41,15,2018/11/6 1:46,2018/11/6 2:27,2018/11/6 2:41,3
3,67,52,15,2018/11/6 2:42,2018/11/6 3:34,2018/11/6 3:48,4
4,59,45,14,2018/11/6 3:49,2018/11/6 4:34,2018/11/6 4:47,5
5,58,45,13,2018/11/6 4:48,2018/11/6 5:33,2018/11/6 5:45,6
6,38,34,4,2018/11/6 5:46,2018/11/6 6:20,2018/11/6 6:23,7
7,11,3,8,2018/11/6 6:24,2018/11/6 6:27,2018/11/6 6:34,8
8,65,51,14,2018/11/6 6:35,2018/11/6 7:26,2018/11/6 7:39,9
9,52,38,14,2018/11/6 7:40,2018/11/6 8:18,2018/11/6 8:31,10
10,53,38,15,2018/11/6 8:32,2018/11/6 9:10,2018/11/6 9:24,11
11,66,50,16,2018/11/6 9:25,2018/11/6 10:15,2018/11/6 10:30,12
12,44,35,9,2018/11/6 10:31,2018/11/6 11:06,2018/11/6 11:14,13
13,8,3,5,2018/11/6 11:15,2018/11/6 11:18,2018/11/6 11:22,14
14,35,31,4,2018/11/6 11:23,2018/11/6 11:54,2018/11/6 11:57,15
15,4,1,3,2018/11/6 11:58,2018/11/6 11:59,2018/11/6 12:01,16
16,67,52,15,2018/11/6 12:02,2018/11/6 12:54,2018/11/6 13:08,17
17,53,41,12,2018/11/6 13:09,2018/11/6 13:50,2018/11/6 14:01,18
18,38,34,4,2018/11/6 14:02,2018/11/6 14:36,2018/11/6 14:39,19
19,5,1,4,2018/11/6 14:40,2018/11/6 14:41,2018/11/6 14:44,20
20,6,3,3,2018/11/6 14:45,2018/11/6 14:48,2018/11/6 14:50,21
21,56,40,16,2018/11/6 14:51,2018/11/6 15:31,2018/11/6 15:46,22
22,56,41,15,2018/11/6 15:47,2018/11/6 16:28,2018/11/6 16:42,23
23,52,36,16,2018/11/6 16:43,2018/11/6 17:19,2018/11/6 17:34,24
24,67,52,15,2018/11/6 17:35,2018/11/6 18:27,2018/11/6 18:41,25
25,73,59,14,2018/11/6 18:42,2018/11/6 19:41,2018/11/6 19:54,26
26,58,44,14,2018/11/6 19:55,2018/11/6 20:39,2018/11/6 20:52,27
27,61,45,16,2018/11/6 20:53,2018/11/6 21:38,2018/11/6 21:53,28
28,45,30,15,2018/11/6 21:54,2018/11/6 22:24,2018/11/6 22:38,29
29,54,39,15,2018/11/6 22:39,2018/11/6 23:18,2018/11/6 23:32,30
30,60,45,15,2018/11/6 23:33,2018/11/7 0:18,2018/11/7 0:32,31
31,54,39,15,2018/11/7 0:33,2018/11/7 1:12,2018/11/7 1:26,32
32,84,69,15,2018/11/7 1:27,2018/11/7 2:36,2018/11/7 2:50,33
33,52,38,14,2018/11/7 2:51,2018/11/7 3:29,2018/11/7 3:42,34
34,45,31,14,2018/11/7 3:43,2018/11/7 4:14,2018/11/7 4:27,35
35,77,62,15,2018/11/7 4:28,2018/11/7 5:30,2018/11/7 5:44,36
36,81,67,14,2018/11/7 5:45,2018/11/7 6:52,2018/11/7 7:05,37
37,52,36,16,2018/11/7 7:06,2018/11/7 7:42,2018/11/7 7:57,38
38,94,77,17,2018/11/7 7:58,2018/11/7 9:15,2018/11/7 9:31,39
39,72,70,2,2018/11/7 9:32,2018/11/7 10:42,2018/11/7 10:43,40
40,21,7,14,2018/11/7 10:44,2018/11/7 10:51,2018/11/7 11:04,41
41,51,44,7,2018/11/7 11:05,2018/11/7 11:49,2018/11/7 11:55,42
42,52,37,15,2018/11/7 12:06,2018/11/7 12:43,2018/11/7 12:57,43
43,60,45,15,2018/11/7 12:58,2018/11/7 13:43,2018/11/7 13:57,44
44,51,35,16,2018/11/7 13:58,2018/11/7 14:33,2018/11/7 14:48,45
45,47,33,14,2018/11/7 14:49,2018/11/7 15:22,2018/11/7 15:35,46
46,67,65,2,2018/11/7 15:36,2018/11/7 16:41,2018/11/7 16:42,47
47,15,5,10,2018/11/7 16:43,2018/11/7 16:48,2018/11/7 16:57,48
48,59,44,15,2018/11/7 16:58,2018/11/7 17:42,2018/11/7 17:56,49
49,46,45,1,2018/11/7 17:57,2018/11/7 18:42,2018/11/7 18:42,50
50,14,1,13,2018/11/7 18:43,2018/11/7 18:44,2018/11/7 18:56,51
51,58,44,14,2018/11/7 18:57,2018/11/7 19:41,2018/11/7 19:54,52
52,63,49,14,2018/11/7 19:55,2018/11/7 20:44,2018/11/7 20:57,53
53,60,46,14,2018/11/7 20:58,2018/11/7 21:44,2018/11/7 21:57,54
54,60,46,14,2018/11/7 21:58,2018/11/7 22:44,2018/11/7 22:57,55
55,48,34,14,2018/11/7 22:58,2018/11/7 23:32,2018/11/7 23:45,56
56,43,28,15,2018/11/7 23:46,2018/11/8 0:14,2018/11/8 0:28,57
57,42,28,14,2018/11/8 0:29,2018/11/8 0:57,2018/11/8 1:10,58
58,87,73,14,2018/11/8 1:11,2018/11/8 2:24,2018/11/8 2:37,59
59,57,42,15,2018/11/8 2:38,2018/11/8 3:20,2018/11/8 3:34,60
60,66,50,16,2018/11/8 3:35,2018/11/8 4:25,2018/11/8 4:40,61
61,47,33,14,2018/11/8 4:41,2018/11/8 5:14,2018/11/8 5:27,62
62,43,29,14,2018/11/8 5:28,2018/11/8 5:57,2018/11/8 6:10,63
63,44,31,13,2018/11/8 6:11,2018/11/8 6:42,2018/11/8 6:54,64
64,105,92,13,2018/11/8 6:55,2018/11/8 8:27,2018/11/8 8:39,65
65,79,67,12,2018/11/8 8:40,2018/11/8 9:47,2018/11/8 9:58,66
66,57,42,15,2018/11/8 9:59,2018/11/8 10:41,2018/11/8 10:55,67
67,60,47,13,2018/11/8 10:56,2018/11/8 11:43,2018/11/8 11:55,68
68,62,49,13,2018/11/8 11:56,2018/11/8 12:45,2018/11/8 12:57,69
69,64,52,12,2018/11/8 12:58,2018/11/8 13:50,2018/11/8 14:01,70
70,104,90,14,2018/11/8 14:02,2018/11/8 15:32,2018/11/8 15:45,71
71,73,58,15,2018/11/8 15:46,2018/11/8 16:44,2018/11/8 16:58,72
72,80,65,15,2018/11/8 16:59,2018/11/8 18:04,2018/11/8 18:18,73
73,77,63,14,2018/11/8 18:19,2018/11/8 19:22,2018/11/8 19:35,74
74,54,40,14,2018/11/8 19:36,2018/11/8 20:16,2018/11/8 20:29,75
75,73,59,14,2018/11/8 20:30,2018/11/8 21:29,2018/11/8 21:42,76
76,54,38,16,2018/11/8 21:43,2018/11/8 22:21,2018/11/8 22:36,77
77,47,32,15,2018/11/8 22:37,2018/11/8 23:09,2018/11/8 23:23,78
78,56,38,18,2018/11/8 23:24,2018/11/9 0:02,2018/11/9 0:19,79
79,181,166,15,2018/11/9 0:20,2018/11/9 3:06,2018/11/9 3:20,80
80,59,45,14,2018/11/9 3:21,2018/11/9 4:06,2018/11/9 4:19,81
81,51,35,16,2018/11/9 4:20,2018/11/9 4:55,2018/11/9 5:10,82
82,74,57,17,2018/11/9 5:11,2018/11/9 6:08,2018/11/9 6:24,83
83,52,36,16,2018/11/9 6:25,2018/11/9 7:01,2018/11/9 7:16,84
84,42,28,14,2018/11/9 7:17,2018/11/9 7:45,2018/11/9 7:58,85
85,75,61,14,2018/11/9 7:59,2018/11/9 9:00,2018/11/9 9:13,86
86,55,54,1,2018/11/9 9:14,2018/11/9 10:08,2018/11/9 10:08,87
87,16,1,15,2018/11/9 10:09,2018/11/9 10:10,2018/11/9 10:24,88
88,54,38,16,2018/11/9 10:25,2018/11/9 11:03,2018/11/9 11:18,89
89,85,69,16,2018/11/9 11:19,2018/11/9 12:28,2018/11/9 12:43,90
90,48,34,14,2018/11/9 12:44,2018/11/9 13:18,2018/11/9 13:31,91
91,46,30,16,2018/11/9 13:32,2018/11/9 14:02,2018/11/9 14:17,92
92,57,42,15,2018/11/9 14:18,2018/11/9 15:00,2018/11/9 15:14,93
93,78,62,16,2018/11/9 15:15,2018/11/9 16:17,2018/11/9 16:32,94
