"index","LDGvalue","luci"
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,47,1
27,175.07,1
28,218.54,1
29,217.94,1
30,216.29,1
31,215.93,1
32,212.57,1
33,211.92,1
34,211.41,1
35,228.82,1
36,227.79,1
37,181.51,1
38,178.8,1
39,163.23,1
40,137.51,1
41,0,2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
58,0,2
59,0,2
60,0,2
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,33.55,2
67,199,2
68,220.18,2
69,217.73,2
70,216.29,2
71,215.31,2
72,213.91,2
73,210.7,2
74,209.28,2
75,205.2,2
76,209.19,2
77,211,2
78,209.52,2
79,164.08,2
80,120.27,2
81,0,3
82,0,3
83,0,3
84,0,3
85,0,3
86,0,3
87,0,3
88,0,3
89,0,3
90,0,3
91,0,3
92,0,3
93,0,3
94,0,3
95,0,3
96,0,3
97,0,3
98,0,3
99,0,3
100,0,3
101,0,3
102,0,3
103,0,3
104,0,3
105,0,3
106,82.08,3
107,217.28,3
108,222.47,3
109,216.82,3
110,219.81,3
111,218.66,3
112,217.1,3
113,216.04,3
114,215.65,3
115,214.44,3
116,220.96,3
117,225.82,3
118,177.77,3
119,167.72,3
120,17.05,3
121,0,4
122,0,4
123,0,4
124,0,4
125,0,4
126,0,4
127,0,4
128,0,4
129,0,4
130,0,4
131,0,4
132,0,4
133,0,4
134,0,4
135,0,4
136,0,4
137,0,4
138,0,4
139,0,4
140,0,4
141,0,4
142,0,4
143,0,4
144,0,4
145,0,4
146,0,4
147,6.47,4
148,181.43,4
149,197.82,4
150,222.65,4
151,219.84,4
152,220,4
153,220.05,4
154,218.32,4
155,219.22,4
156,221.91,4
157,221.03,4
158,216.52,4
159,223.98,4
160,119.26,4
161,0,5
162,0,5
163,0,5
164,0,5
165,0,5
166,0,5
167,0,5
168,0,5
169,0,5
170,0,5
171,0,5
172,0,5
173,0,5
174,0,5
175,0,5
176,0,5
177,0,5
178,0,5
179,0,5
180,0,5
181,0,5
182,0,5
183,0,5
184,0,5
185,0,5
186,0,5
187,0,5
188,50.2,5
189,202.48,5
190,216.46,5
191,212.31,5
192,212.24,5
193,211.43,5
194,211.22,5
195,210.73,5
196,213.21,5
197,210.32,5
198,189.44,5
199,165.64,5
200,120.39,5
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,6
208,0,6
209,0,6
210,0,6
211,0,6
212,0,6
213,0,6
214,0,6
215,0,6
216,0,6
217,0,6
218,0,6
219,0,6
220,0,6
221,0,6
222,0,6
223,0,6
224,0,6
225,0,6
226,0,6
227,36.93,6
228,221.12,6
229,218.85,6
230,218.06,6
231,215.67,6
232,213.34,6
233,213.22,6
234,212.16,6
235,218.93,6
236,219.09,6
237,202.5,6
238,212.66,6
239,213.62,6
240,189.42,6
241,0,7
242,0,7
243,0,7
244,0,7
245,0,7
246,0,7
247,0,7
248,0,7
249,0,7
250,0,7
251,0,7
252,0,7
253,0,7
254,0,7
255,0,7
256,0,7
257,0,7
258,0,7
259,0,7
260,0,7
261,0,7
262,0,7
263,0,7
264,0,7
265,0,7
266,0,7
267,206.76,7
268,232.12,7
269,228.71,7
270,226.62,7
271,225.22,7
272,220.09,7
273,222.36,7
274,221.63,7
275,222.09,7
276,219.2,7
277,209.49,7
278,185.87,7
279,99.74,7
280,122.83,7
281,0,8
282,0,8
283,0,8
284,0,8
285,0,8
286,0,8
287,0,8
288,0,8
289,0,8
290,0,8
291,0,8
292,0,8
293,0,8
294,0,8
295,0,8
296,0,8
297,0,8
298,0,8
299,0,8
300,0,8
301,0,8
302,0,8
303,0,8
304,0,8
305,0,8
306,139.1,8
307,230.96,8
308,223.8,8
309,226.2,8
310,224.85,8
311,225.14,8
312,229.05,8
313,229.18,8
314,227.62,8
315,227.4,8
316,226.49,8
317,225.51,8
318,205.68,8
319,224.2,8
320,38.25,8
321,0,9
322,0,9
323,0,9
324,0,9
325,0,9
326,0,9
327,0,9
328,0,9
329,0,9
330,0,9
331,0,9
332,0,9
333,0,9
334,0,9
335,0,9
336,0,9
337,0,9
338,0,9
339,0,9
340,0,9
341,0,9
342,0,9
343,0,9
344,0,9
345,122.03,9
346,171.96,9
347,232.68,9
348,191.36,9
349,178.59,9
350,202.01,9
351,225.24,9
352,219.85,9
353,217.41,9
354,218.89,9
355,221.36,9
356,221.07,9
357,170.74,9
358,167.01,9
359,167.01,9
360,58.66,9
361,0,10
362,0,10
363,0,10
364,0,10
365,0,10
366,0,10
367,0,10
368,0,10
369,0,10
370,0,10
371,0,10
372,0,10
373,0,10
374,0,10
375,0,10
376,0,10
377,0,10
378,0,10
379,0,10
380,0,10
381,0,10
382,0,10
383,0,10
384,0,10
385,0,10
386,105.29,10
387,225.52,10
388,228.6,10
389,224.85,10
390,222.74,10
391,221.42,10
392,221.73,10
393,221.81,10
394,220.9,10
395,220.36,10
396,219.55,10
397,220.37,10
398,220.4,10
399,185.44,10
400,32.75,10
401,0,11
402,0,11
403,0,11
404,0,11
405,0,11
406,0,11
407,0,11
408,0,11
409,0,11
410,0,11
411,0,11
412,0,11
413,0,11
414,0,11
415,0,11
416,0,11
417,0,11
418,0,11
419,0,11
420,0,11
421,0,11
422,0,11
423,0,11
424,0,11
425,0,11
426,0,11
427,0,11
428,0,11
429,90.91,11
430,231.12,11
431,196.75,11
432,218.34,11
433,227.54,11
434,226.43,11
435,223.98,11
436,222.64,11
437,223.77,11
438,222.18,11
439,222.3,11
440,213.37,11
441,0,12
442,0,12
443,0,12
444,0,12
445,0,12
446,0,12
447,0,12
448,0,12
449,0,12
450,0,12
451,0,12
452,0,12
453,0,12
454,0,12
455,0,12
456,0,12
457,0,12
458,0,12
459,0,12
460,0,12
461,0,12
462,0,12
463,0,12
464,0,12
465,28.59,12
466,214.85,12
467,233.82,12
468,230.21,12
469,230.36,12
470,227.85,12
471,226.24,12
472,226.14,12
473,225.81,12
474,225.15,12
475,224.44,12
476,172.07,12
477,212.38,12
478,164.13,12
479,184.86,12
480,29.27,12
481,0,13
482,0,13
483,0,13
484,0,13
485,0,13
486,0,13
487,0,13
488,0,13
489,0,13
490,0,13
491,0,13
492,0,13
493,0,13
494,0,13
495,0,13
496,0,13
497,0,13
498,0,13
499,0,13
500,0,13
501,0,13
502,0,13
503,0,13
504,0,13
505,0,13
506,179.27,13
507,189.65,13
508,177.18,13
509,236.77,13
510,233.29,13
511,228.4,13
512,227.48,13
513,225.98,13
514,224.55,13
515,223.8,13
516,223.92,13
517,194.19,13
518,167.84,13
519,168.76,13
520,74.23,13
521,0,14
522,0,14
523,0,14
524,0,14
525,0,14
526,0,14
527,0,14
528,0,14
529,0,14
530,0,14
531,0,14
532,0,14
533,0,14
534,0,14
535,0,14
536,0,14
537,0,14
538,0,14
539,0,14
540,0,14
541,0,14
542,0,14
543,0,14
544,0,14
545,72.76,14
546,48.18,14
547,150.52,14
548,168.93,14
549,219.03,14
550,228.69,14
551,225.74,14
552,224.49,14
553,222.63,14
554,221.76,14
555,221.18,14
556,220.27,14
557,218.29,14
558,166.45,14
559,162.62,14
560,23.36,14
561,0,15
562,0,15
563,0,15
564,0,15
565,0,15
566,0,15
567,0,15
568,0,15
569,0,15
570,0,15
571,0,15
572,0,15
573,0,15
574,0,15
575,0,15
576,0,15
577,0,15
578,0,15
579,0,15
580,0,15
581,0,15
582,0,15
583,0,15
584,0,15
585,0,15
586,174.5,15
587,233.31,15
588,229.54,15
589,226.52,15
