A1A00000401: 4087.238   - 2017/10/21 0:00:04        
A1A00000401: 4091.478   - 2017/10/21 0:00:09        
A1A00000401: 4095.718   - 2017/10/21 0:00:15        
A1A00000401: 4093.951   - 2017/10/21 0:00:20        
A1A00000401: 4089.593   - 2017/10/21 0:00:25        
A1A00000401: 4096.542   - 2017/10/21 0:00:30        
A1A00000401: 4104.551   - 2017/10/21 0:00:35        
A1A00000401: 4093.48    - 2017/10/21 0:00:41        
A1A00000401: 4104.904   - 2017/10/21 0:00:46        
A1A00000401: 4110.322   - 2017/10/21 0:00:51        
A1A00000401: 4101.606   - 2017/10/21 0:00:56        
A1A00000401: 4113.502   - 2017/10/21 0:01:01        
A1A00000401: 4109.851   - 2017/10/21 0:01:07        
A1A00000401: 4104.668   - 2017/10/21 0:01:12        
A1A00000401: 4124.572   - 2017/10/21 0:01:17        
A1A00000401: 4120.568   - 2017/10/21 0:01:22        
A1A00000401: 4121.393   - 2017/10/21 0:01:27        
A1A00000401: 4117.035   - 2017/10/21 0:01:33        
A1A00000401: 4129.166   - 2017/10/21 0:01:38        
A1A00000401: 4119.744   - 2017/10/21 0:01:43        
A1A00000401: 4127.752   - 2017/10/21 0:01:48        
A1A00000401: 4132.346   - 2017/10/21 0:01:53        
A1A00000401: 4119.744   - 2017/10/21 0:01:59        
A1A00000401: 4123.748   - 2017/10/21 0:02:04        
A1A00000401: 4124.69    - 2017/10/21 0:02:09        
A1A00000401: 4120.097   - 2017/10/21 0:02:14        
A1A00000401: 4121.746   - 2017/10/21 0:02:19        
A1A00000401: 4136.703   - 2017/10/21 0:02:25        
A1A00000401: 4142.945   - 2017/10/21 0:02:30        
A1A00000401: 4129.637   - 2017/10/21 0:02:35        
A1A00000401: 4136.703   - 2017/10/21 0:02:40        
A1A00000401: 4134.819   - 2017/10/21 0:02:45        
A1A00000401: 4141.414   - 2017/10/21 0:02:51        
A1A00000401: 4135.525   - 2017/10/21 0:02:56        
A1A00000401: 4123.513   - 2017/10/21 0:03:01        
A1A00000401: 4126.692   - 2017/10/21 0:03:06        
A1A00000401: 4130.344   - 2017/10/21 0:03:11        
A1A00000401: 4136.232   - 2017/10/21 0:03:17        
A1A00000401: 4124.69    - 2017/10/21 0:03:22        
A1A00000401: 4128.341   - 2017/10/21 0:03:27        
A1A00000401: 4136.821   - 2017/10/21 0:03:32        
A1A00000401: 4128.224   - 2017/10/21 0:03:37        
A1A00000401: 4133.759   - 2017/10/21 0:03:43        
A1A00000401: 4141.296   - 2017/10/21 0:03:48        
A1A00000401: 4128.577   - 2017/10/21 0:03:53        
A1A00000401: 4133.523   - 2017/10/21 0:03:58        
A1A00000401: 4128.105   - 2017/10/21 0:04:03        
A1A00000401: 4117.742   - 2017/10/21 0:04:09        
A1A00000401: 4134.701   - 2017/10/21 0:04:14        
A1A00000401: 4129.637   - 2017/10/21 0:04:19        
A1A00000401: 4129.637   - 2017/10/21 0:04:24        
A1A00000401: 4132.463   - 2017/10/21 0:04:29        
A1A00000401: 4138.117   - 2017/10/21 0:04:35        
A1A00000401: 4127.399   - 2017/10/21 0:04:40        
A1A00000401: 4138.823   - 2017/10/21 0:04:45        
A1A00000401: 4135.172   - 2017/10/21 0:04:50        
A1A00000401: 4138.823   - 2017/10/21 0:04:55        
A1A00000401: 4136.821   - 2017/10/21 0:05:01        
A1A00000401: 4130.461   - 2017/10/21 0:05:06        
A1A00000401: 4142.828   - 2017/10/21 0:05:11        
A1A00000401: 4138.234   - 2017/10/21 0:05:16        
A1A00000401: 4141.414   - 2017/10/21 0:05:21        
A1A00000401: 4149.423   - 2017/10/21 0:05:27        
A1A00000401: 4137.881   - 2017/10/21 0:05:32        
A1A00000401: 4132.463   - 2017/10/21 0:05:37        
A1A00000401: 4137.41    - 2017/10/21 0:05:42        
A1A00000401: 4143.888   - 2017/10/21 0:05:47        
A1A00000401: 4141.65    - 2017/10/21 0:05:53        
A1A00000401: 4132.228   - 2017/10/21 0:05:58        
A1A00000401: 4148.127   - 2017/10/21 0:06:03        
A1A00000401: 4139.766   - 2017/10/21 0:06:08        
A1A00000401: 4136.939   - 2017/10/21 0:06:13        
A1A00000401: 4147.539   - 2017/10/21 0:06:19        
A1A00000401: 4137.881   - 2017/10/21 0:06:24        
A1A00000401: 4151.661   - 2017/10/21 0:06:29        
A1A00000401: 4146.008   - 2017/10/21 0:06:34        
A1A00000401: 4148.481   - 2017/10/21 0:06:39        
A1A00000401: 4160.376   - 2017/10/21 0:06:45        
A1A00000401: 4152.838   - 2017/10/21 0:06:50        
A1A00000401: 4122.806   - 2017/10/21 0:06:55        
A1A00000401: 4130.108   - 2017/10/21 0:07:00        
A1A00000401: 4113.266   - 2017/10/21 0:07:05        
A1A00000401: 4119.037   - 2017/10/21 0:07:11        
A1A00000401: 4113.737   - 2017/10/21 0:07:16        
A1A00000401: 4113.737   - 2017/10/21 0:07:21        
A1A00000401: 4105.964   - 2017/10/21 0:07:26        
A1A00000401: 4123.513   - 2017/10/21 0:07:31        
A1A00000401: 4106.671   - 2017/10/21 0:07:37        
A1A00000401: 4103.138   - 2017/10/21 0:07:42        
A1A00000401: 4114.444   - 2017/10/21 0:07:47        
A1A00000401: 4113.031   - 2017/10/21 0:07:52        
A1A00000401: 4100.429   - 2017/10/21 0:07:57        
A1A00000401: 4110.204   - 2017/10/21 0:08:03        
A1A00000401: 4106.789   - 2017/10/21 0:08:08        
A1A00000401: 4097.249   - 2017/10/21 0:08:13        
A1A00000401: 4110.204   - 2017/10/21 0:08:18        
A1A00000401: 4110.204   - 2017/10/21 0:08:23        
A1A00000401: 4109.968   - 2017/10/21 0:08:29        
A1A00000401: 4125.75    - 2017/10/21 0:08:34        
A1A00000401: 4125.632   - 2017/10/21 0:08:39        
A1A00000401: 4106.671   - 2017/10/21 0:08:44        
A1A00000401: 4117.271   - 2017/10/21 0:08:49        
A1A00000401: 4122.57    - 2017/10/21 0:08:55        
A1A00000401: 4102.784   - 2017/10/21 0:09:00        
A1A00000401: 4111.146   - 2017/10/21 0:09:05        
A1A00000401: 4113.031   - 2017/10/21 0:09:10        
A1A00000401: 4107.377   - 2017/10/21 0:09:15        
A1A00000401: 4111.853   - 2017/10/21 0:09:21        
A1A00000401: 4114.915   - 2017/10/21 0:09:26        
A1A00000401: 4102.313   - 2017/10/21 0:09:31        
A1A00000401: 4113.031   - 2017/10/21 0:09:36        
A1A00000401: 4114.797   - 2017/10/21 0:09:41        
A1A00000401: 4101.135   - 2017/10/21 0:09:47        
A1A00000401: 4106.317   - 2017/10/21 0:09:52        
A1A00000401: 4105.493   - 2017/10/21 0:09:57        
A1A00000401: 4102.195   - 2017/10/21 0:10:02        
A1A00000401: 4103.373   - 2017/10/21 0:10:07        
A1A00000401: 4100.664   - 2017/10/21 0:10:13        
A1A00000401: 4107.849   - 2017/10/21 0:10:18        
A1A00000401: 4110.322   - 2017/10/21 0:10:23        
A1A00000401: 4114.326   - 2017/10/21 0:10:28        
A1A00000401: 4102.902   - 2017/10/21 0:10:33        
A1A00000401: 4106.553   - 2017/10/21 0:10:39        
A1A00000401: 4112.56    - 2017/10/21 0:10:44        
A1A00000401: 4111.5     - 2017/10/21 0:10:49        
