A1A00000401: 3861.346   - 2017/11/6 0:00:03         
A1A00000401: 3854.868   - 2017/11/6 0:00:08         
A1A00000401: 3852.866   - 2017/11/6 0:00:13         
A1A00000401: 3849.215   - 2017/11/6 0:00:19         
A1A00000401: 3838.733   - 2017/11/6 0:00:24         
A1A00000401: 3842.737   - 2017/11/6 0:00:29         
A1A00000401: 3836.731   - 2017/11/6 0:00:34         
A1A00000401: 3831.313   - 2017/11/6 0:00:39         
A1A00000401: 3841.913   - 2017/11/6 0:00:45         
A1A00000401: 3827.898   - 2017/11/6 0:00:50         
A1A00000401: 3832.609   - 2017/11/6 0:00:55         
A1A00000401: 3831.784   - 2017/11/6 0:01:00         
A1A00000401: 3827.78    - 2017/11/6 0:01:05         
A1A00000401: 3828.84    - 2017/11/6 0:01:11         
A1A00000401: 3846.271   - 2017/11/6 0:01:16         
A1A00000401: 3831.549   - 2017/11/6 0:01:21         
A1A00000401: 3829.664   - 2017/11/6 0:01:26         
A1A00000401: 3836.849   - 2017/11/6 0:01:31         
A1A00000401: 3841.677   - 2017/11/6 0:01:37         
A1A00000401: 3829.311   - 2017/11/6 0:01:42         
A1A00000401: 3834.493   - 2017/11/6 0:01:47         
A1A00000401: 3843.444   - 2017/11/6 0:01:52         
A1A00000401: 3843.915   - 2017/11/6 0:01:57         
A1A00000401: 3836.731   - 2017/11/6 0:02:03         
A1A00000401: 3842.148   - 2017/11/6 0:02:08         
A1A00000401: 3838.969   - 2017/11/6 0:02:13         
A1A00000401: 3842.973   - 2017/11/6 0:02:18         
A1A00000401: 3836.849   - 2017/11/6 0:02:23         
A1A00000401: 3849.804   - 2017/11/6 0:02:29         
A1A00000401: 3844.975   - 2017/11/6 0:02:34         
A1A00000401: 3851.099   - 2017/11/6 0:02:39         
A1A00000401: 3847.331   - 2017/11/6 0:02:44         
A1A00000401: 3851.217   - 2017/11/6 0:02:49         
A1A00000401: 3853.219   - 2017/11/6 0:02:55         
A1A00000401: 3842.737   - 2017/11/6 0:03:00         
A1A00000401: 3855.81    - 2017/11/6 0:03:05         
A1A00000401: 3851.217   - 2017/11/6 0:03:10         
A1A00000401: 3858.284   - 2017/11/6 0:03:15         
A1A00000401: 3861.11    - 2017/11/6 0:03:21         
A1A00000401: 3865.35    - 2017/11/6 0:03:26         
A1A00000401: 3862.523   - 2017/11/6 0:03:31         
A1A00000401: 3866.057   - 2017/11/6 0:03:36         
A1A00000401: 3864.29    - 2017/11/6 0:03:41         
A1A00000401: 3864.879   - 2017/11/6 0:03:47         
A1A00000401: 3856.164   - 2017/11/6 0:03:52         
A1A00000401: 3857.224   - 2017/11/6 0:03:57         
A1A00000401: 3853.219   - 2017/11/6 0:04:02         
A1A00000401: 3848.744   - 2017/11/6 0:04:07         
A1A00000401: 3868.766   - 2017/11/6 0:04:13         
A1A00000401: 3849.686   - 2017/11/6 0:04:18         
A1A00000401: 3851.099   - 2017/11/6 0:04:23         
A1A00000401: 3843.562   - 2017/11/6 0:04:28         
A1A00000401: 3846.035   - 2017/11/6 0:04:33         
A1A00000401: 3847.095   - 2017/11/6 0:04:39         
A1A00000401: 3834.846   - 2017/11/6 0:04:44         
A1A00000401: 3850.51    - 2017/11/6 0:04:49         
A1A00000401: 3835.553   - 2017/11/6 0:04:54         
A1A00000401: 3849.922   - 2017/11/6 0:04:59         
A1A00000401: 3837.438   - 2017/11/6 0:05:05         
A1A00000401: 3841.795   - 2017/11/6 0:05:10         
A1A00000401: 3850.864   - 2017/11/6 0:05:15         
A1A00000401: 3850.628   - 2017/11/6 0:05:20         
A1A00000401: 3850.981   - 2017/11/6 0:05:25         
A1A00000401: 3852.395   - 2017/11/6 0:05:31         
A1A00000401: 3868.648   - 2017/11/6 0:05:36         
A1A00000401: 3852.277   - 2017/11/6 0:05:41         
A1A00000401: 3862.406   - 2017/11/6 0:05:46         
A1A00000401: 3864.526   - 2017/11/6 0:05:51         
A1A00000401: 3861.581   - 2017/11/6 0:05:57         
A1A00000401: 3862.995   - 2017/11/6 0:06:02         
A1A00000401: 3866.528   - 2017/11/6 0:06:07         
A1A00000401: 3868.883   - 2017/11/6 0:06:12         
A1A00000401: 3865.704   - 2017/11/6 0:06:17         
A1A00000401: 3867.823   - 2017/11/6 0:06:23         
A1A00000401: 3870.179   - 2017/11/6 0:06:28         
