A1A00000401: 3748.4     - 2017/11/8 0:00:04         
A1A00000401: 3758.882   - 2017/11/8 0:00:09         
A1A00000401: 3756.526   - 2017/11/8 0:00:15         
A1A00000401: 3762.533   - 2017/11/8 0:00:20         
A1A00000401: 3759.353   - 2017/11/8 0:00:25         
A1A00000401: 3752.875   - 2017/11/8 0:00:30         
A1A00000401: 3754.76    - 2017/11/8 0:00:35         
A1A00000401: 3760.648   - 2017/11/8 0:00:41         
A1A00000401: 3761.355   - 2017/11/8 0:00:46         
A1A00000401: 3756.055   - 2017/11/8 0:00:51         
A1A00000401: 3755.702   - 2017/11/8 0:00:56         
A1A00000401: 3748.635   - 2017/11/8 0:01:01         
A1A00000401: 3759       - 2017/11/8 0:01:07         
A1A00000401: 3751.108   - 2017/11/8 0:01:12         
A1A00000401: 3755.584   - 2017/11/8 0:01:17         
A1A00000401: 3757.233   - 2017/11/8 0:01:22         
A1A00000401: 3746.044   - 2017/11/8 0:01:27         
A1A00000401: 3753.464   - 2017/11/8 0:01:33         
A1A00000401: 3753.111   - 2017/11/8 0:01:38         
A1A00000401: 3752.757   - 2017/11/8 0:01:43         
A1A00000401: 3746.28    - 2017/11/8 0:01:48         
A1A00000401: 3743.571   - 2017/11/8 0:01:53         
A1A00000401: 3745.809   - 2017/11/8 0:01:59         
A1A00000401: 3738.978   - 2017/11/8 0:02:04         
A1A00000401: 3743.453   - 2017/11/8 0:02:09         
A1A00000401: 3745.22    - 2017/11/8 0:02:14         
A1A00000401: 3739.095   - 2017/11/8 0:02:19         
A1A00000401: 3740.626   - 2017/11/8 0:02:25         
A1A00000401: 3735.327   - 2017/11/8 0:02:30         
A1A00000401: 3741.687   - 2017/11/8 0:02:35         
A1A00000401: 3730.851   - 2017/11/8 0:02:40         
A1A00000401: 3732.736   - 2017/11/8 0:02:45         
A1A00000401: 3732.265   - 2017/11/8 0:02:51         
A1A00000401: 3734.385   - 2017/11/8 0:02:56         
A1A00000401: 3732.147   - 2017/11/8 0:03:01         
A1A00000401: 3734.149   - 2017/11/8 0:03:06         
A1A00000401: 3729.438   - 2017/11/8 0:03:11         
A1A00000401: 3730.498   - 2017/11/8 0:03:17         
A1A00000401: 3739.567   - 2017/11/8 0:03:22         
