E1E00001601: 65746.87   - 2017/9/21 0:00:02         
E1E00001601: 65885.55   - 2017/9/21 0:00:07         
E1E00001601: 68507.8    - 2017/9/21 0:00:12         
E1E00001601: 68507.8    - 2017/9/21 0:00:17         
E1E00001601: 66499.38   - 2017/9/21 0:00:22         
E1E00001601: 67287.85   - 2017/9/21 0:00:27         
E1E00001601: 69915.24   - 2017/9/21 0:00:32         
E1E00001601: 69915.24   - 2017/9/21 0:00:37         
E1E00001601: 72568.31   - 2017/9/21 0:00:42         
E1E00001601: 74083.63   - 2017/9/21 0:00:47         
E1E00001601: 76764.95   - 2017/9/21 0:00:52         
E1E00001601: 76764.95   - 2017/9/21 0:00:57         
E1E00001601: 81292.89   - 2017/9/21 0:01:02         
E1E00001601: 81798.84   - 2017/9/21 0:01:07         
E1E00001601: 81482.95   - 2017/9/21 0:01:12         
E1E00001601: 81482.95   - 2017/9/21 0:01:17         
E1E00001601: 81511.2    - 2017/9/21 0:01:22         
E1E00001601: 79120.09   - 2017/9/21 0:01:27         
E1E00001601: 78506.27   - 2017/9/21 0:01:32         
E1E00001601: 78506.27   - 2017/9/21 0:01:37         
E1E00001601: 79700.53   - 2017/9/21 0:01:42         
E1E00001601: 80512.12   - 2017/9/21 0:01:47         
E1E00001601: 79775.02   - 2017/9/21 0:01:52         
E1E00001601: 79775.02   - 2017/9/21 0:01:57         
E1E00001601: 78447.2    - 2017/9/21 0:02:02         
E1E00001601: 79217.69   - 2017/9/21 0:02:07         
E1E00001601: 80668.79   - 2017/9/21 0:02:12         
E1E00001601: 80668.79   - 2017/9/21 0:02:17         
E1E00001601: 84965.58   - 2017/9/21 0:02:22         
E1E00001601: 83994.76   - 2017/9/21 0:02:27         
E1E00001601: 83519.62   - 2017/9/21 0:02:32         
E1E00001601: 83519.62   - 2017/9/21 0:02:37         
E1E00001601: 82194.37   - 2017/9/21 0:02:42         
E1E00001601: 83098.41   - 2017/9/21 0:02:47         
E1E00001601: 83291.04   - 2017/9/21 0:02:52         
E1E00001601: 83291.04   - 2017/9/21 0:02:57         
E1E00001601: 82669.51   - 2017/9/21 0:03:02         
E1E00001601: 82404.97   - 2017/9/21 0:03:07         
E1E00001601: 80440.2    - 2017/9/21 0:03:12         
E1E00001601: 80440.2    - 2017/9/21 0:03:17         
E1E00001601: 79433.42   - 2017/9/21 0:03:22         
E1E00001601: 80892.23   - 2017/9/21 0:03:27         
E1E00001601: 81238.95   - 2017/9/21 0:03:32         
E1E00001601: 81238.95   - 2017/9/21 0:03:37         
E1E00001601: 82977.7    - 2017/9/21 0:03:42         
E1E00001601: 81696.11   - 2017/9/21 0:03:47         
E1E00001601: 79240.8    - 2017/9/21 0:03:52         
E1E00001601: 79240.8    - 2017/9/21 0:03:57         
E1E00001601: 78275.12   - 2017/9/21 0:04:02         
E1E00001601: 80178.23   - 2017/9/21 0:04:07         
E1E00001601: 83838.09   - 2017/9/21 0:04:12         
E1E00001601: 83838.09   - 2017/9/21 0:04:17         
E1E00001601: 81002.67   - 2017/9/21 0:04:22         
E1E00001601: 80517.26   - 2017/9/21 0:04:27         
E1E00001601: 82017.16   - 2017/9/21 0:04:32         
E1E00001601: 82017.16   - 2017/9/21 0:04:37         
E1E00001601: 85073.45   - 2017/9/21 0:04:42         
E1E00001601: 82944.31   - 2017/9/21 0:04:47         
E1E00001601: 81827.09   - 2017/9/21 0:04:52         
E1E00001601: 81827.09   - 2017/9/21 0:04:57         
E1E00001601: 78516.54   - 2017/9/21 0:05:02         
E1E00001601: 74289.09   - 2017/9/21 0:05:07         
E1E00001601: 70832.13   - 2017/9/21 0:05:12         
E1E00001601: 70832.13   - 2017/9/21 0:05:17         
E1E00001601: 71363.77   - 2017/9/21 0:05:22         
E1E00001601: 70487.98   - 2017/9/21 0:05:27         
E1E00001601: 72198.48   - 2017/9/21 0:05:32         
E1E00001601: 72198.48   - 2017/9/21 0:05:37         
E1E00001601: 69311.69   - 2017/9/21 0:05:42         
E1E00001601: 67942.77   - 2017/9/21 0:05:47         
E1E00001601: 66309.33   - 2017/9/21 0:05:52         
E1E00001601: 66309.33   - 2017/9/21 0:05:57         
E1E00001601: 66822.99   - 2017/9/21 0:06:02         
E1E00001601: 67133.76   - 2017/9/21 0:06:07         
E1E00001601: 66766.48   - 2017/9/21 0:06:12         
E1E00001601: 66766.48   - 2017/9/21 0:06:17         
E1E00001601: 66453.15   - 2017/9/21 0:06:22         
E1E00001601: 70297.92   - 2017/9/21 0:06:27         
E1E00001601: 71320.11   - 2017/9/21 0:06:32         
E1E00001601: 71320.11   - 2017/9/21 0:06:37         
E1E00001601: 70927.16   - 2017/9/21 0:06:42         
E1E00001601: 69517.16   - 2017/9/21 0:06:47         
E1E00001601: 69234.64   - 2017/9/21 0:06:52         
E1E00001601: 69234.64   - 2017/9/21 0:06:57         
E1E00001601: 71823.5    - 2017/9/21 0:07:02         
E1E00001601: 69748.3    - 2017/9/21 0:07:07         
E1E00001601: 68297.2    - 2017/9/21 0:07:12         
E1E00001601: 68297.2    - 2017/9/21 0:07:17         
E1E00001601: 68109.72   - 2017/9/21 0:07:22         
E1E00001601: 68620.81   - 2017/9/21 0:07:27         
E1E00001601: 70621.53   - 2017/9/21 0:07:32         
