E1E00001601: 67770.7    - 2017/9/26 0:00:02         
E1E00001601: 66504.52   - 2017/9/26 0:00:07         
E1E00001601: 66504.52   - 2017/9/26 0:00:12         
E1E00001601: 68022.39   - 2017/9/26 0:00:17         
E1E00001601: 68525.78   - 2017/9/26 0:00:22         
E1E00001601: 68625.95   - 2017/9/26 0:00:27         
E1E00001601: 68625.95   - 2017/9/26 0:00:32         
E1E00001601: 66401.78   - 2017/9/26 0:00:37         
E1E00001601: 68173.92   - 2017/9/26 0:00:42         
E1E00001601: 67190.26   - 2017/9/26 0:00:47         
E1E00001601: 67190.26   - 2017/9/26 0:00:52         
E1E00001601: 66864.08   - 2017/9/26 0:00:57         
E1E00001601: 66535.34   - 2017/9/26 0:01:02         
E1E00001601: 66707.41   - 2017/9/26 0:01:07         
E1E00001601: 66707.41   - 2017/9/26 0:01:12         
E1E00001601: 67436.82   - 2017/9/26 0:01:17         
E1E00001601: 68407.64   - 2017/9/26 0:01:22         
E1E00001601: 67811.79   - 2017/9/26 0:01:27         
E1E00001601: 67811.79   - 2017/9/26 0:01:32         
E1E00001601: 67072.12   - 2017/9/26 0:01:37         
E1E00001601: 68143.1    - 2017/9/26 0:01:42         
E1E00001601: 67991.57   - 2017/9/26 0:01:47         
E1E00001601: 67991.57   - 2017/9/26 0:01:52         
E1E00001601: 67942.77   - 2017/9/26 0:01:57         
E1E00001601: 68310.05   - 2017/9/26 0:02:02         
E1E00001601: 69093.38   - 2017/9/26 0:02:07         
E1E00001601: 69093.38   - 2017/9/26 0:02:12         
E1E00001601: 67822.06   - 2017/9/26 0:02:17         
E1E00001601: 66437.74   - 2017/9/26 0:02:22         
E1E00001601: 67529.27   - 2017/9/26 0:02:27         
E1E00001601: 67529.27   - 2017/9/26 0:02:32         
E1E00001601: 69065.13   - 2017/9/26 0:02:37         
E1E00001601: 67783.54   - 2017/9/26 0:02:42         
E1E00001601: 68215.02   - 2017/9/26 0:02:47         
E1E00001601: 68215.02   - 2017/9/26 0:02:52         
E1E00001601: 67341.79   - 2017/9/26 0:02:57         
E1E00001601: 67403.43   - 2017/9/26 0:03:02         
E1E00001601: 66024.24   - 2017/9/26 0:03:07         
E1E00001601: 66024.24   - 2017/9/26 0:03:12         
E1E00001601: 66445.45   - 2017/9/26 0:03:17         
E1E00001601: 66512.22   - 2017/9/26 0:03:22         
E1E00001601: 63782.1    - 2017/9/26 0:03:27         
E1E00001601: 63782.1    - 2017/9/26 0:03:32         
E1E00001601: 62942.26   - 2017/9/26 0:03:37         
E1E00001601: 60574.27   - 2017/9/26 0:03:42         
E1E00001601: 60209.57   - 2017/9/26 0:03:47         
E1E00001601: 60209.57   - 2017/9/26 0:03:52         
E1E00001601: 58542.73   - 2017/9/26 0:03:57         
E1E00001601: 60047.77   - 2017/9/26 0:04:02         
E1E00001601: 58655.74   - 2017/9/26 0:04:07         
E1E00001601: 58655.74   - 2017/9/26 0:04:12         
