E1E00001601: 104338.4   - 2017/10/16 0:00:02        
E1E00001601: 104934.3   - 2017/10/16 0:00:07        
E1E00001601: 104469.4   - 2017/10/16 0:00:12        
E1E00001601: 104469.4   - 2017/10/16 0:00:17        
E1E00001601: 105530.1   - 2017/10/16 0:00:22        
E1E00001601: 105599.4   - 2017/10/16 0:00:27        
E1E00001601: 107746.6   - 2017/10/16 0:00:32        
E1E00001601: 107746.6   - 2017/10/16 0:00:37        
E1E00001601: 106660.2   - 2017/10/16 0:00:42        
E1E00001601: 106881     - 2017/10/16 0:00:47        
E1E00001601: 106020.6   - 2017/10/16 0:00:52        
E1E00001601: 106020.6   - 2017/10/16 0:00:57        
E1E00001601: 106185     - 2017/10/16 0:01:02        
E1E00001601: 105517.3   - 2017/10/16 0:01:07        
E1E00001601: 103133.9   - 2017/10/16 0:01:12        
E1E00001601: 103133.9   - 2017/10/16 0:01:17        
E1E00001601: 102548.3   - 2017/10/16 0:01:22        
E1E00001601: 102050     - 2017/10/16 0:01:27        
E1E00001601: 102496.9   - 2017/10/16 0:01:32        
E1E00001601: 102496.9   - 2017/10/16 0:01:37        
E1E00001601: 104348.7   - 2017/10/16 0:01:42        
E1E00001601: 103765.7   - 2017/10/16 0:01:47        
E1E00001601: 105612.3   - 2017/10/16 0:01:52        
E1E00001601: 105612.3   - 2017/10/16 0:01:57        
E1E00001601: 106113.1   - 2017/10/16 0:02:02        
E1E00001601: 106678.1   - 2017/10/16 0:02:07        
E1E00001601: 106488.1   - 2017/10/16 0:02:12        
E1E00001601: 106488.1   - 2017/10/16 0:02:17        
E1E00001601: 105830.6   - 2017/10/16 0:02:22        
E1E00001601: 105804.9   - 2017/10/16 0:02:27        
E1E00001601: 106059.2   - 2017/10/16 0:02:32        
E1E00001601: 106059.2   - 2017/10/16 0:02:37        
E1E00001601: 105383.7   - 2017/10/16 0:02:42        
E1E00001601: 105460.8   - 2017/10/16 0:02:47        
E1E00001601: 104009.7   - 2017/10/16 0:02:52        
E1E00001601: 104009.7   - 2017/10/16 0:02:57        
E1E00001601: 104343.5   - 2017/10/16 0:03:02        
E1E00001601: 105034.4   - 2017/10/16 0:03:07        
E1E00001601: 105604.6   - 2017/10/16 0:03:12        
E1E00001601: 105604.6   - 2017/10/16 0:03:17        
E1E00001601: 106105.4   - 2017/10/16 0:03:22        
E1E00001601: 105252.7   - 2017/10/16 0:03:27        
E1E00001601: 105447.9   - 2017/10/16 0:03:32        
E1E00001601: 105447.9   - 2017/10/16 0:03:37        
E1E00001601: 107019.7   - 2017/10/16 0:03:42        
E1E00001601: 107877.5   - 2017/10/16 0:03:47        
E1E00001601: 107004.3   - 2017/10/16 0:03:52        
E1E00001601: 107004.3   - 2017/10/16 0:03:57        
E1E00001601: 106719.2   - 2017/10/16 0:04:02        
E1E00001601: 105882     - 2017/10/16 0:04:07        
E1E00001601: 104549     - 2017/10/16 0:04:12        
